FTXG,2020-07-09(sell),2020-07-10(buy*)
FTXR,2020-07-10(buy*)
QQXT,2020-07-13(sell)
FPRX,2020-07-10(sell)
FRTA,2020-07-13(sell)
FTNT,2020-07-13(sell)
FRAN,2020-07-13(sell)
FFHL,2020-07-09(sell)
FVCB,2020-07-09(sell*)
GLPG,2020-07-10(sell*)
GARS,2020-07-13(sell)
GLIBP,2020-07-10(sell),2020-07-13(buy*)
GDS,2020-07-13(sell)
GENC,2020-07-09(sell)
GFN,2020-07-09(sell)
GFNCP,2020-07-09(sell),2020-07-10(buy*)
GERN,2020-07-13(sell)
GILT,2020-07-09(sell*)
GLADD,2020-07-10(sell)
GBLI,2020-07-13(sell*)
GWRS,2020-07-13(buy)
CLOU,2020-07-13(sell)
SNSR,2020-07-09(buy*),2020-07-13(sell)
LNGR,2020-07-10(sell)
BOTZ,2020-07-09(buy*),2020-07-13(sell)
CATH,2020-07-10(buy*)
GMLPP,2020-07-09(buy)
DNJR,2020-07-09(buy*)
GMHIU,2020-07-13(buy*)
GPP,2020-07-13(buy*)
GPRE,2020-07-10(buy*)
GTEC,2020-07-10(buy*)
GRNVU,2020-07-13(buy*)
GSUM,2020-07-09(buy)
GRFS,2020-07-13(buy)
GRTS,2020-07-09(buy),2020-07-13(sell*)
GVP,2020-07-09(buy),2020-07-10(sell*)
GHSI,2020-07-13(buy)
GIFI,2020-07-13(sell)
GPOR,2020-07-10(buy),2020-07-13(sell*)
GYRO,2020-07-08(sell)
HYACU,2020-07-09(buy*),2020-07-13(sell)
HCAT,2020-07-09(buy*)
HCCO,2020-07-10(buy*)
HSTM,2020-07-13(sell*)
HCACU,2020-07-10(buy*)
HX,2020-07-09(buy*)
HFFG,2020-07-09(sell)
HIBB,2020-07-10(sell)
HQI,2020-07-08(sell)
HCCH,2020-07-13(sell)
HCCHU,2020-07-10(sell)
HMNF,2020-07-09(sell*)
HMSY,2020-07-09(sell)
HOLI,2020-07-13(sell*)
HZNP,2020-07-13(sell)
HTHT,2020-07-09(buy*),2020-07-13(sell)
HSON,2020-07-09(sell*)
HDSN,2020-07-13(buy*)
HBANN,2020-07-09(buy*)
HURN,2020-07-09(sell*),2020-07-10(buy),2020-07-13(sell*)
HVBC,2020-07-09(sell)
IEP,2020-07-10(buy)
ICCH,2020-07-13(buy*)
ICLK,2020-07-10(buy*)
IDXX,2020-07-13(sell)
IROQ,2020-07-13(sell)
IFMK,2020-07-13(sell*)
IMBI,2020-07-10(buy*),2020-07-13(sell)
IMMR,2020-07-10(buy)
IMGN,2020-07-10(sell)
IMMP,2020-07-13(buy)
PI,2020-07-09(buy*)
INCY,2020-07-13(sell)
INFN,2020-07-13(sell)
IEA,2020-07-09(sell)
INMB,2020-07-10(buy*)
IPHA,2020-07-09(sell*)
ISIG,2020-07-13(buy*)
INSE,2020-07-13(buy)
IIIN,2020-07-13(sell)
INSU,2020-07-09(sell)
NTLA,2020-07-13(sell)
IDN,2020-07-13(sell)
IDCC,2020-07-13(sell)
IDXG,2020-07-13(sell)
IPLDP,2020-07-09(buy)
INTL,2020-07-09(sell)
BSJM,2020-07-10(buy*),2020-07-13(sell)
BSMM,2020-07-10(buy*)
BSMP,2020-07-10(buy*)
PFM,2020-07-13(buy*)
PYZ,2020-07-13(buy*)
DWAS,2020-07-13(sell)
PUI,2020-07-09(sell*),2020-07-10(buy)
PSCC,2020-07-09(sell)
PHO,2020-07-13(buy*)
ICMB,2020-07-09(buy)
IRIX,2020-07-09(sell)
SHY,2020-07-09(buy),2020-07-10(sell*)
USIG,2020-07-09(buy*),2020-07-13(sell)
IUSB,2020-07-09(buy*),2020-07-10(sell)
BGRN,2020-07-09(buy*),2020-07-13(sell)
IBTE,2020-07-10(sell)
IBTF,2020-07-13(sell)
IGOV,2020-07-10(buy*),2020-07-13(sell)
EWZS,2020-07-10(buy*),2020-07-13(sell)
EUFN,2020-07-09(sell)
ENZL,2020-07-13(sell)
TUR,2020-07-09(sell)
IBB,2020-07-13(sell)
EMIF,2020-07-10(sell)
ITMR,2020-07-09(buy*)
ITI,2020-07-09(sell)
JKHY,2020-07-09(sell)
JBSS,2020-07-09(sell*),2020-07-10(buy)
JOUT,2020-07-09(sell)
KALV,2020-07-13(sell)
KPTI,2020-07-13(sell)
KZIA,2020-07-13(sell)
KIRK,2020-07-10(buy*)
KOSS,2020-07-09(buy*)
KRYS,2020-07-13(sell*)
KLIC,2020-07-09(buy)
